ID	NS	OS	Phylum	Class	Genus	Dissimilarity
OTU_491	0	0.044083251	 Bacteroidetes	Others	 Unassigned	0.036262929
OTU_1030	0	0.044083251	Others	Others	 Unassigned	0.036262929
OTU_1400	0	0.044083251	Others	Others	 Unassigned	0.036262929
OTU_3047	0.031171574	0.031171574	 Bacteroidetes	Others	 Ferruginibacter	0.033105891
OTU_663	0.031171574	0.031171574	 Proteobacteria	Others	 Unassigned	0.033105891
OTU_395	0	0.044083251	Others	Others	 Unassigned	0.036262929
OTU_1115	0.031171574	0.031171574	 Planctomycetes	Others	 SM1A02	0.033105891
OTU_859	0.031171574	0.031171574	Others	Others	 Candidatus_Omnitrophus	0.033105891
OTU_511	0.031171574	0.031171574	 Proteobacteria	 Gammaproteobacteria	 Unassigned	0.033105891
OTU_970	0	0.044083251	Others	Others	 Unassigned	0.036262929
OTU_278	0.044083251	0	Others	Others	Unassigned	0.036262929
OTU_1957	0.031171574	0.031171574	 Proteobacteria	 Betaproteobacteria	 Unassigned	0.033105891
OTU_658	0.031171574	0.031171574	 Proteobacteria	 Gammaproteobacteria	 BD1-7_clade	0.033105891
OTU_674	0.031171574	0.031171574	Others	Others	 bacterium_enrichment_culture_clone_Anammox_55	0.033105891
OTU_775	0.031171574	0.031171574	 Planctomycetes	Others	 Unassigned	0.033105891
OTU_840	0.031171574	0.031171574	 Proteobacteria	Others	Unassigned	0.033105891
